throughput,uwThreads,ugThreads,addPipelined,mulPipelined,divPipelined,rcPipelined,sharedRc,sharedRa,ugRepFactor,uwRepFactor,burstFactor,fixedFanout,averageFanout
0.0031,4,1,false,false,false,false,true,true,1,4,1,0,10
0.0031,4,1,false,false,false,false,true,true,1,8,1,0,10
0.0049,4,1,false,false,false,false,true,true,2,1,1,0,10
0.0061,4,1,false,false,false,false,true,true,2,2,1,0,10
0.0063,4,1,false,false,false,false,true,true,2,4,1,0,10
0.0063,4,1,false,false,false,false,true,true,2,8,1,0,10
0.0058,4,1,false,false,false,false,true,true,4,1,1,0,10
0.0090,4,1,false,false,false,false,true,true,4,2,1,0,10
0.0112,4,1,false,false,false,false,true,true,4,4,1,0,10
0.0123,4,1,false,false,false,false,true,true,4,8,1,0,10
0.0060,4,1,false,false,false,false,true,true,8,1,1,0,10
0.0099,4,1,false,false,false,false,true,true,8,2,1,0,10
0.0136,4,1,false,false,false,false,true,true,8,4,1,0,10
0.0164,4,1,false,false,false,false,true,true,8,8,1,0,10
0.0049,4,2,false,false,false,false,true,false,1,1,1,0,10
0.0062,4,2,false,false,false,false,true,false,1,2,1,0,10
0.0062,4,2,false,false,false,false,true,false,1,4,1,0,10
0.0062,4,2,false,false,false,false,true,false,1,8,1,0,10
0.0057,4,2,false,false,false,false,true,false,2,1,1,0,10
0.0083,4,2,false,false,false,false,true,false,2,2,1,0,10
0.0113,4,2,false,false,false,false,true,false,2,4,1,0,10
0.0118,4,2,false,false,false,false,true,false,2,8,1,0,10
0.0057,4,2,false,false,false,false,true,false,4,1,1,0,10
0.0091,4,2,false,false,false,false,true,false,4,2,1,0,10
0.0133,4,2,false,false,false,false,true,false,4,4,1,0,10
0.0168,4,2,false,false,false,false,true,false,4,8,1,0,10
0.0058,4,2,false,false,false,false,true,false,8,1,1,0,10
0.0109,4,2,false,false,false,false,true,false,8,2,1,0,10
0.0148,4,2,false,false,false,false,true,false,8,4,1,0,10
0.0176,4,2,false,false,false,false,true,false,8,8,1,0,10
0.0049,4,2,false,false,false,false,true,true,1,1,1,0,10
0.0060,4,2,false,false,false,false,true,true,1,2,1,0,10
0.0062,4,2,false,false,false,false,true,true,1,4,1,0,10
0.0062,4,2,false,false,false,false,true,true,1,8,1,0,10
0.0058,4,2,false,false,false,false,true,true,2,1,1,0,10
0.0086,4,2,false,false,false,false,true,true,2,2,1,0,10
0.0111,4,2,false,false,false,false,true,true,2,4,1,0,10
0.0118,4,2,false,false,false,false,true,true,2,8,1,0,10
0.0059,4,2,false,false,false,false,true,true,4,1,1,0,10
0.0086,4,2,false,false,false,false,true,true,4,2,1,0,10
0.0140,4,2,false,false,false,false,true,true,4,4,1,0,10
0.0162,4,2,false,false,false,false,true,true,4,8,1,0,10
0.0059,4,2,false,false,false,false,true,true,8,1,1,0,10
0.0097,4,2,false,false,false,false,true,true,8,2,1,0,10
0.0118,4,2,false,false,false,false,true,true,8,4,1,0,10
0.0155,4,2,false,false,false,false,true,true,8,8,1,0,10
0.0056,4,4,false,false,false,false,true,false,1,1,1,0,10
0.0090,4,4,false,false,false,false,true,false,1,2,1,0,10
0.0113,4,4,false,false,false,false,true,false,1,4,1,0,10
0.0123,4,4,false,false,false,false,true,false,1,8,1,0,10
0.0057,4,4,false,false,false,false,true,false,2,1,1,0,10
0.0091,4,4,false,false,false,false,true,false,2,2,1,0,10
0.0138,4,4,false,false,false,false,true,false,2,4,1,0,10
0.0167,4,4,false,false,false,false,true,false,2,8,1,0,10
0.0058,4,4,false,false,false,false,true,false,4,1,1,0,10
0.0107,4,4,false,false,false,false,true,false,4,2,1,0,10
0.0134,4,4,false,false,false,false,true,false,4,4,1,0,10
0.0177,4,4,false,false,false,false,true,false,4,8,1,0,10
0.0057,4,4,false,false,false,false,true,false,8,1,1,0,10
0.0117,4,4,false,false,false,false,true,false,8,2,1,0,10
0.0144,4,4,false,false,false,false,true,false,8,4,1,0,10
0.0179,4,4,false,false,false,false,true,false,8,8,1,0,10
0.0058,4,4,false,false,false,false,true,true,1,1,1,0,10
0.0096,4,4,false,false,false,false,true,true,1,2,1,0,10
0.0114,4,4,false,false,false,false,true,true,1,4,1,0,10
0.0122,4,4,false,false,false,false,true,true,1,8,1,0,10
0.0058,4,4,false,false,false,false,true,true,2,1,1,0,10
0.0093,4,4,false,false,false,false,true,true,2,2,1,0,10
0.0136,4,4,false,false,false,false,true,true,2,4,1,0,10
0.0151,4,4,false,false,false,false,true,true,2,8,1,0,10
0.0058,4,4,false,false,false,false,true,true,4,1,1,0,10
0.0103,4,4,false,false,false,false,true,true,4,2,1,0,10
0.0140,4,4,false,false,false,false,true,true,4,4,1,0,10
0.0174,4,4,false,false,false,false,true,true,4,8,1,0,10
0.0060,4,4,false,false,false,false,true,true,8,1,1,0,10
0.0111,4,4,false,false,false,false,true,true,8,2,1,0,10
0.0122,4,4,false,false,false,false,true,true,8,4,1,0,10
0.0159,4,4,false,false,false,false,true,true,8,8,1,0,10
0.0800,4,8,false,false,false,false,true,false,1,1,1,0,10
0.0106,4,8,false,false,false,false,true,false,1,2,1,0,10
0.0145,4,8,false,false,false,false,true,false,1,4,1,0,10
0.0169,4,8,false,false,false,false,true,false,1,8,1,0,10
0.0800,4,8,false,false,false,false,true,false,2,1,1,0,10
0.0106,4,8,false,false,false,false,true,false,2,2,1,0,10
0.0145,4,8,false,false,false,false,true,false,2,4,1,0,10
0.0169,4,8,false,false,false,false,true,false,2,8,1,0,10
0.0057,4,8,false,false,false,false,true,false,4,1,1,0,10
0.0108,4,8,false,false,false,false,true,false,4,2,1,0,10
0.0140,4,8,false,false,false,false,true,false,4,4,1,0,10
0.0171,4,8,false,false,false,false,true,false,4,8,1,0,10
0.0057,4,8,false,false,false,false,true,false,8,1,1,0,10
0.0107,4,8,false,false,false,false,true,false,8,2,1,0,10
0.0137,4,8,false,false,false,false,true,false,8,4,1,0,10
0.0182,4,8,false,false,false,false,true,false,8,8,1,0,10
0.0059,4,8,false,false,false,false,true,true,1,1,1,0,10
0.0096,4,8,false,false,false,false,true,true,1,2,1,0,10
0.0124,4,8,false,false,false,false,true,true,1,4,1,0,10
0.0148,4,8,false,false,false,false,true,true,1,8,1,0,10
0.0059,4,8,false,false,false,false,true,true,2,1,1,0,10
0.0110,4,8,false,false,false,false,true,true,2,2,1,0,10
0.0132,4,8,false,false,false,false,true,true,2,4,1,0,10
0.0161,4,8,false,false,false,false,true,true,2,8,1,0,10
0.0058,4,8,false,false,false,false,true,true,4,1,1,0,10
0.0100,4,8,false,false,false,false,true,true,4,2,1,0,10
0.0123,4,8,false,false,false,false,true,true,4,4,1,0,10
0.0168,4,8,false,false,false,false,true,true,4,8,1,0,10
0.0059,4,8,false,false,false,false,true,true,8,1,1,0,10
0.0108,4,8,false,false,false,false,true,true,8,2,1,0,10
